,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
10,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,0,e1289e96-ebe3-387b-68cb-aa9e22d72fab,julia,2,two blue,0.0,0,0,"for left red line, two blue block placed right against each other",two blue,,L,C,L_C,1
11,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,0,e1289e96-ebe3-387b-68cb-aa9e22d72fab,justin,2,two blue block,0.0,0,0,"for left red line, two blue block placed right against each other",two blue block,,L,C,L_C,1
12,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,2,7c23bbfc-0490-642f-db5b-f01f3d75489a,julia,2,two red,0.0,0,1,"for left red line, on top of far left of left blue block, place two red blocks stacked on each other",two red,,L,C,L_C,1
13,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,2,7c23bbfc-0490-642f-db5b-f01f3d75489a,justin,2,two red blocks,0.0,0,1,"for left red line, on top of far left of left blue block, place two red blocks stacked on each other",two red blocks,,L,C,L_C,1
14,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,4,d836ba33-8467-36ce-24db-ac94486cf4d6,julia,1,blue,0.0,0,2,"for right red line, place one blue block in middle of that line",blue,,L,C,L_C,1
15,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,4,d836ba33-8467-36ce-24db-ac94486cf4d6,justin,1,one blue block,0.0,0,2,"for right red line, place one blue block in middle of that line",one blue block,,L,C,L_C,1
16,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,6,ad5ac10c-bd3c-cd61-5ec2-abf6a2237d40,julia,2,two red,0.0,0,3,"for right red line, place two red blocks stacked on top of each other on left side of blue block",two red,,L,C,L_C,1
17,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,6,ad5ac10c-bd3c-cd61-5ec2-abf6a2237d40,justin,2,two red blocks,0.0,0,3,"for right red line, place two red blocks stacked on top of each other on left side of blue block",two red blocks,,L,C,L_C,1
18,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,8,524bba5b-8204-2c0b-1da2-21b825454e29,julia,1,blue,0.0,0,4,"for right red line, place blue block on top of highest red block so it sticks on on the left side",blue,,L,C,L_C,1
19,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,8,524bba5b-8204-2c0b-1da2-21b825454e29,justin,1,blue block,0.0,0,4,"for right red line, place blue block on top of highest red block so it sticks on on the left side",blue block,,L,C,L_C,1
20,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,0,135981c7-b984-dbe3-aef8-2d2e51f83e44,julia,3,"blue, two red",0.0,0,0,"for left red line, place blue block in the middle then stack two red on left side of that blue block",blue two red,,C,Pi,C_Pi,1
21,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,0,135981c7-b984-dbe3-aef8-2d2e51f83e44,justin,3,"blue block, two red",0.0,0,0,"for left red line, place blue block in the middle then stack two red on left side of that blue block",blue block two red,,C,Pi,C_Pi,1
22,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,2,d7418ae8-cfa7-1765-e757-155d5c07d046,julia,1,blue,0.0,0,1,"for left red line, place blue block on highest red so it stick out on the right side",blue,,C,Pi,C_Pi,1
23,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,2,d7418ae8-cfa7-1765-e757-155d5c07d046,justin,1,blue block,0.0,0,1,"for left red line, place blue block on highest red so it stick out on the right side",blue block,,C,Pi,C_Pi,1
24,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,4,4b91cbe8-fea4-ca6a-3342-3b60310dfbf4,julia,1,red,0.0,0,2,"for right red line, place one red block two space away from that line,",red,,C,Pi,C_Pi,1
25,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,4,4b91cbe8-fea4-ca6a-3342-3b60310dfbf4,justin,1,one red block,0.0,0,2,"for right red line, place one red block two space away from that line,",one red block,,C,Pi,C_Pi,1
26,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,6,a6a99aab-6c81-1d57-b283-5bff857d114b,julia,1,blue,0.0,0,3,"same as step 3, but on the left side, so there is two spaces apart between those two red blocks",blue,,C,Pi,C_Pi,1
27,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,6,a6a99aab-6c81-1d57-b283-5bff857d114b,justin,2,"same, two red blocks",0.0,1,3,"same as step 3, but on the left side, so there is two spaces apart between those two red blocks",same two red blocks,,C,Pi,C_Pi,1
28,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,8,650f1375-60fc-01e2-bcd6-35ccb9c4abb6,julia,1,blue,0.0,0,4,"for right red line, place one blue block on top of each red block so the blue blocks meet/touch",blue,,C,Pi,C_Pi,1
29,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,8,650f1375-60fc-01e2-bcd6-35ccb9c4abb6,justin,1,one blue block,0.0,0,4,"for right red line, place one blue block on top of each red block so the blue blocks meet/touch",one blue block,,C,Pi,C_Pi,1
30,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,0,13bd01ae-70dd-4704-2489-88cf091523be,julia,0,the same exact construction,0.0,1,0,"on the left red line, the same exact construction as right red line in previous round
",the same exact construction,,Pi,C,Pi_C,2
31,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,0,13bd01ae-70dd-4704-2489-88cf091523be,justin,0,same exact construction,0.0,1,0,"on the left red line, the same exact construction as right red line in previous round
",same exact construction,,Pi,C,Pi_C,2
32,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,2,27b22a70-a945-2a96-a123-9c7249ace049,julia,2,one red block on left and right,0.0,0,1,"on left red line, one red block on left and right side of red line so they are two spaces apart",one red block on left and right,,Pi,C,Pi_C,2
33,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,2,27b22a70-a945-2a96-a123-9c7249ace049,justin,1,one red block,0.0,0,1,"on left red line, one red block on left and right side of red line so they are two spaces apart",one red block,,Pi,C,Pi_C,2
34,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,4,9a347cda-d481-4f7f-3022-b8f186d6c424,julia,1,one blue,0.0,0,2,"for right red line, one blue block in middle of line",one blue,,Pi,C,Pi_C,2
35,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,4,9a347cda-d481-4f7f-3022-b8f186d6c424,justin,1,one blue block,0.0,0,2,"for right red line, one blue block in middle of line",one blue block,,Pi,C,Pi_C,2
36,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,6,95dd24bd-27c4-bf8d-5994-90667d416588,julia,2,two red,0.0,0,3,"for right red line, two red blocks stack on each other on left side of that blue block",two red,,Pi,C,Pi_C,2
37,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,6,95dd24bd-27c4-bf8d-5994-90667d416588,justin,2,two red blocks,0.0,0,3,"for right red line, two red blocks stack on each other on left side of that blue block",two red blocks,,Pi,C,Pi_C,2
38,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,8,6dec9a46-9297-6e6c-e04d-350f260aeef2,julia,1,blue,0.0,0,4,"for right red line, one blue block on top of highest red block so it faces the right side",blue,,Pi,C,Pi_C,2
39,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,8,6dec9a46-9297-6e6c-e04d-350f260aeef2,justin,1,one blue block,0.0,0,4,"for right red line, one blue block on top of highest red block so it faces the right side",one blue block,,Pi,C,Pi_C,2
40,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,0,1de4ead3-362b-5eea-bdb6-3f3243cec809,julia,3,"blue, two reds",0.0,0,0,"for left red line, one blue block placed in middle of line, then two red blocks on top on left blue",blue two reds,,C,L,C_L,2
41,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,0,1de4ead3-362b-5eea-bdb6-3f3243cec809,justin,3,"one blue block, two red blocks",0.0,0,0,"for left red line, one blue block placed in middle of line, then two red blocks on top on left blue",one blue block two red blocks,,C,L,C_L,2
42,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,2,71027b03-23a8-eb6e-2864-120ef118ac10,julia,1,blue,0.0,0,1,"for left red line, one blue block on highest red block so it faces right side",blue,,C,L,C_L,2
43,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,2,71027b03-23a8-eb6e-2864-120ef118ac10,justin,1,one blue block,0.0,0,1,"for left red line, one blue block on highest red block so it faces right side",one blue block,,C,L,C_L,2
44,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,4,6c7f40f8-8946-352d-d953-5d1dea839861,julia,2,two blue,0.0,0,2,"for right red line, two blue blocks placed against each other so they meet in the middle of red line",two blue,,C,L,C_L,2
45,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,4,6c7f40f8-8946-352d-d953-5d1dea839861,justin,2,two blue blocks,0.0,0,2,"for right red line, two blue blocks placed against each other so they meet in the middle of red line",two blue blocks,,C,L,C_L,2
46,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,6,09cef0ea-d6ca-df41-2df1-fe3fefd9373e,julia,2,two red,0.0,0,3,"for right red line, two red blocks on top each other on left side of left blue block",two red,,C,L,C_L,2
47,0110-5784fec9-109a-4d7a-a343-4820f4d42144,4.0,6,09cef0ea-d6ca-df41-2df1-fe3fefd9373e,justin,2,two red blocks,0.0,0,3,"for right red line, two red blocks on top each other on left side of left blue block",two red blocks,,C,L,C_L,2
48,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,0,92a97177-785e-cebc-c003-8e5a4c8349bc,julia,2,one red block on left and right,0.0,0,0,"on left red line, one red block on left and right of line so two spaces apart",one red block on left and right,,Pi,L,Pi_L,2
49,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,0,92a97177-785e-cebc-c003-8e5a4c8349bc,justin,1,one red block,0.0,0,0,"on left red line, one red block on left and right of line so two spaces apart",one red block,,Pi,L,Pi_L,2
50,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,2,a5bb2389-5dde-2c6a-aeb5-964415d51b49,julia,1,blue,0.0,0,1,"for left red line, one blue block on each red block so they meet/touch in middle of line",blue,,Pi,L,Pi_L,2
51,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,2,a5bb2389-5dde-2c6a-aeb5-964415d51b49,justin,1,one blue block,0.0,0,1,"for left red line, one blue block on each red block so they meet/touch in middle of line",one blue block,,Pi,L,Pi_L,2
52,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,4,7e88c933-19db-1d7b-1938-d096ed3dffdf,julia,2,two blue,0.0,0,2,"for right red line, two blue blocks so they meet in middle of red line",two blue,,Pi,L,Pi_L,2
53,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,4,7e88c933-19db-1d7b-1938-d096ed3dffdf,justin,2,two blue blocks,0.0,0,2,"for right red line, two blue blocks so they meet in middle of red line",two blue blocks,,Pi,L,Pi_L,2
54,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,6,07b52a8b-0af0-1e69-853a-91353ee2151b,julia,2,two red,0.0,0,3,"for right red line, two red blocks on top each other of left side of left blue block",two red,,Pi,L,Pi_L,2
55,0110-5784fec9-109a-4d7a-a343-4820f4d42144,5.0,6,07b52a8b-0af0-1e69-853a-91353ee2151b,justin,2,two red blocks,0.0,0,3,"for right red line, two red blocks on top each other of left side of left blue block",two red blocks,,Pi,L,Pi_L,2
56,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,0,cdd592a0-aeff-988b-b5ec-a796dc5f3db7,julia,2,two blue,0.0,0,0,"for left red line, two blue blocks against each other so they meet in middle of red line",two blue,,L,C,L_C,2
57,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,0,cdd592a0-aeff-988b-b5ec-a796dc5f3db7,justin,2,two blue blocks,0.0,0,0,"for left red line, two blue blocks against each other so they meet in middle of red line",two blue blocks,,L,C,L_C,2
58,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,2,d24cc9b8-7735-0617-1615-975596df541f,julia,2,two red,0.0,0,1,"for left red line, two red blocks on top each other of left side of left blue block",two red,,L,C,L_C,2
59,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,2,d24cc9b8-7735-0617-1615-975596df541f,justin,2,two red blocks,0.0,0,1,"for left red line, two red blocks on top each other of left side of left blue block",two red blocks,,L,C,L_C,2
60,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,4,41c14dc0-95f9-d782-bcb4-3dc942923754,julia,3,"blue, two reds",0.0,0,2,"for right line, one blue block in middle of line and two red on top each other on left side of blue",blue two reds,,L,C,L_C,2
61,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,4,41c14dc0-95f9-d782-bcb4-3dc942923754,justin,3,"one blue block, two red",0.0,0,2,"for right line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,L,C,L_C,2
62,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,6,6059c8a9-cb02-0672-8fff-6a1ab3e52b15,julia,1,blue,0.0,0,3,"for right red line, one blue block on top of highest red so faces right side",blue,,L,C,L_C,2
63,0110-5784fec9-109a-4d7a-a343-4820f4d42144,6.0,6,6059c8a9-cb02-0672-8fff-6a1ab3e52b15,justin,1,one blue block,0.0,0,3,"for right red line, one blue block on top of highest red so faces right side",one blue block,,L,C,L_C,2
64,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,0,1f3994bc-a013-e55e-3cd2-aad82997e899,julia,3,"blue, two reds",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",blue two reds,,C,Pi,C_Pi,3
65,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,0,1f3994bc-a013-e55e-3cd2-aad82997e899,justin,3,"one blue block, two red",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,C,Pi,C_Pi,3
66,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,2,f2b8fd15-94c7-cd9a-d28d-65a1adc786e7,julia,1,blue,0.0,0,1,"for left red line, one blue block on top of highest red so faces right side",blue,,C,Pi,C_Pi,3
67,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,2,f2b8fd15-94c7-cd9a-d28d-65a1adc786e7,justin,1,one blue block,0.0,0,1,"for left red line, one blue block on top of highest red so faces right side",one blue block,,C,Pi,C_Pi,3
68,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,4,28ec7c65-848d-77e3-c797-5813ba4e199c,julia,2,one red block on left and right,0.0,0,2,"for right red line, one red block on left and right side of line so two spaces apart",one red block on left and right,,C,Pi,C_Pi,3
69,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,4,28ec7c65-848d-77e3-c797-5813ba4e199c,justin,1,one red block,0.0,0,2,"for right red line, one red block on left and right side of line so two spaces apart",one red block,,C,Pi,C_Pi,3
70,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,6,eef7133a-a672-8c5c-7f25-943cf4634a81,julia,1,blue,0.0,0,3,"for right red line, one blue block on each red block so blue blocks touch/meet",blue,,C,Pi,C_Pi,3
71,0110-5784fec9-109a-4d7a-a343-4820f4d42144,7.0,6,eef7133a-a672-8c5c-7f25-943cf4634a81,justin,1,one blue block,0.0,0,3,"for right red line, one blue block on each red block so blue blocks touch/meet",one blue block,,C,Pi,C_Pi,3
72,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,0,39fa33cd-035e-4eb9-3e41-ca28a0c7bb90,julia,3,"blue, two reds",0.0,0,0,"for right line, one blue block in middle of line and two red on top each other on left side of blue",blue two reds,,L,Pi,L_Pi,3
73,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,0,39fa33cd-035e-4eb9-3e41-ca28a0c7bb90,justin,3,"one blue block, two red",0.0,0,0,"for right line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,L,Pi,L_Pi,3
74,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,2,acc08d98-99df-d2f5-b4fb-f35024bf2792,julia,2,two blue,0.0,0,1,"for left red line, two blue blocks placed against each other so meet middle on red",two blue,,L,Pi,L_Pi,3
75,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,2,acc08d98-99df-d2f5-b4fb-f35024bf2792,justin,2,two blue blocks,0.0,0,1,"for left red line, two blue blocks placed against each other so meet middle on red",two blue blocks,,L,Pi,L_Pi,3
76,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,4,dd3a30f8-24ee-198e-df30-2d42c4545268,julia,2,two red,0.0,0,2,"for left line, two red blocks on top each other on left side of left blue block",two red,,L,Pi,L_Pi,3
77,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,4,dd3a30f8-24ee-198e-df30-2d42c4545268,justin,2,two red blocks,0.0,0,2,"for left line, two red blocks on top each other on left side of left blue block",two red blocks,,L,Pi,L_Pi,3
78,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,6,d925bbaa-2783-3e60-f8b2-ca91a3073280,julia,1,red block,0.0,0,3,"(messed up for right line, so sorry bro) just place a red block against blue on both side",red block,,L,Pi,L_Pi,3
79,0110-5784fec9-109a-4d7a-a343-4820f4d42144,8.0,6,d925bbaa-2783-3e60-f8b2-ca91a3073280,justin,2,"a red block, both side",0.0,0,3,"(messed up for right line, so sorry bro) just place a red block against blue on both side",a red block both side,,L,Pi,L_Pi,3
80,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,0,978ff2cb-d23a-817d-cf86-e88ec361570d,julia,3,"blue, two red",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",blue two red,,C,L,C_L,3
81,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,0,978ff2cb-d23a-817d-cf86-e88ec361570d,justin,3,"one blue block, two red",0.0,0,0,"for left line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,C,L,C_L,3
82,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,2,1b08fdc1-1162-ce26-2d64-584a9ee08eef,julia,1,blue,0.0,0,1,"for left line, one blue block on top of highest red so faces right side",blue,,C,L,C_L,3
83,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,2,1b08fdc1-1162-ce26-2d64-584a9ee08eef,justin,1,one blue block,0.0,0,1,"for left line, one blue block on top of highest red so faces right side",one blue block,,C,L,C_L,3
84,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,4,9f7a46b8-4500-00a1-1870-0fd547894708,julia,2,two blue,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue,,C,L,C_L,3
85,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,4,9f7a46b8-4500-00a1-1870-0fd547894708,justin,2,two blue blocks,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue blocks,,C,L,C_L,3
86,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,6,420a746a-c7b2-595e-93c3-150d77c3f04f,julia,1,one red,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",one red,,C,L,C_L,3
87,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9.0,6,420a746a-c7b2-595e-93c3-150d77c3f04f,justin,2,two red blocks,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",two red blocks,,C,L,C_L,3
88,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,0,0a9ffe96-fdf0-d605-6b7b-2370940ca324,julia,1,red,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",red,,Pi,C,Pi_C,3
89,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,0,0a9ffe96-fdf0-d605-6b7b-2370940ca324,justin,2,one red block on left and right side,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",one red block on left and right side,,Pi,C,Pi_C,3
90,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,2,d3d779d5-2430-1b87-1322-439ab54faf70,julia,1,blue,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",blue,,Pi,C,Pi_C,3
91,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,2,d3d779d5-2430-1b87-1322-439ab54faf70,justin,2,one blue block on each,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",one blue block on each,,Pi,C,Pi_C,3
92,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,4,58d776da-0f01-3f4e-7396-1f8efaa83536,julia,1,blue,0.0,0,2,"for right line, one blue block in middle of line and two red on top each other on left side of blue",blue,,Pi,C,Pi_C,3
93,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,4,58d776da-0f01-3f4e-7396-1f8efaa83536,justin,3,"one blue block, two red",0.0,0,2,"for right line, one blue block in middle of line and two red on top each other on left side of blue",one blue block two red,,Pi,C,Pi_C,3
94,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,6,68652c4d-a322-e658-4102-23b45536212a,julia,1,blue,0.0,0,3,"for right red line, one blue block on top of highest red so faces right side",blue,,Pi,C,Pi_C,3
95,0110-5784fec9-109a-4d7a-a343-4820f4d42144,10.0,6,68652c4d-a322-e658-4102-23b45536212a,justin,1,one blue block,0.0,0,3,"for right red line, one blue block on top of highest red so faces right side",one blue block,,Pi,C,Pi_C,3
96,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,0,fbdc2233-05ad-18a9-e7d3-7bcc63f6ed2d,julia,1,red,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",red,,Pi,L,Pi_L,4
97,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,0,fbdc2233-05ad-18a9-e7d3-7bcc63f6ed2d,justin,2,one red block on left and right side,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",one red block on left and right side,,Pi,L,Pi_L,4
98,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,2,3659333f-3dea-f9a0-a724-dc8f4be669fb,julia,1,blue,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",blue,,Pi,L,Pi_L,4
99,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,2,3659333f-3dea-f9a0-a724-dc8f4be669fb,justin,2,one blue block on each,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",one blue block on each,,Pi,L,Pi_L,4
100,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,4,b888cb65-97b1-9d4f-16d2-4a67c6b1b41f,julia,2,two blue,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue,,Pi,L,Pi_L,4
101,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,4,b888cb65-97b1-9d4f-16d2-4a67c6b1b41f,justin,2,two blue blocks,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue blocks,,Pi,L,Pi_L,4
102,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,6,85dc1819-df63-16b9-3f73-914324dcea5a,julia,2,two red,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",two red,,Pi,L,Pi_L,4
103,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,6,85dc1819-df63-16b9-3f73-914324dcea5a,justin,2,two red blocks,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",two red blocks,,Pi,L,Pi_L,4
104,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,0,8d00b7b2-7d82-fccf-81eb-88e5d549faad,julia,1,blue,0.0,0,0,"blue 2,1",blue,,L,C,L_C,1
105,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,0,8d00b7b2-7d82-fccf-81eb-88e5d549faad,justin,1,blue,0.0,0,0,"blue 2,1",blue,,L,C,L_C,1
106,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,2,43eb280e-7901-7990-64e3-22cfa51de78b,julia,1,blue,0.0,0,1,"blue 4,1
",blue,,L,C,L_C,1
107,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,2,43eb280e-7901-7990-64e3-22cfa51de78b,justin,1,blue,0.0,0,1,"blue 4,1
",blue,,L,C,L_C,1
108,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,4,5d443821-8a7f-03ae-3ad2-3fbf2e573864,julia,1,blue,0.0,0,2,"blue 9,1
",blue,,L,C,L_C,1
109,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,4,5d443821-8a7f-03ae-3ad2-3fbf2e573864,justin,1,blue,0.0,0,2,"blue 9,1
",blue,,L,C,L_C,1
110,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,6,9bde299d-da28-6b7a-4d6d-99a628d798b4,julia,1,red,0.0,0,3,"red 2,2",red,,L,C,L_C,1
111,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,6,9bde299d-da28-6b7a-4d6d-99a628d798b4,justin,1,red,0.0,0,3,"red 2,2",red,,L,C,L_C,1
112,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,8,74f8c57b-24c5-82ca-eab3-c4d8d4e4004b,julia,1,red,0.0,0,4,"red 2, 4",red,,L,C,L_C,1
113,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,8,74f8c57b-24c5-82ca-eab3-c4d8d4e4004b,justin,1,red,0.0,0,4,"red 2, 4",red,,L,C,L_C,1
